position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Beşiktaş JK,3050,34,23,8,3,73,30,+43,77
2,Başakşehir FK,3086,34,21,10,3,63,28,+35,73
3,Fenerbahçe,3052,34,18,10,6,60,32,+28,64
4,Galatasaray,3061,34,20,4,10,65,40,+25,64
5,Antalyaspor,3056,34,17,7,10,47,40,+7,58
6,Trabzonspor,3051,34,14,9,11,39,34,+5,51
7,Akhisarspor,24748,34,14,6,14,46,42,+4,48
8,Gençlerbirliği,7802,34,12,10,12,33,34,-1,46
9,Konyaspor,3085,34,11,10,13,40,45,-5,43
10,Kasımpaşa,6063,34,12,7,15,46,50,-4,43
11,Karabükspor,7027,34,12,7,15,38,48,-10,43
12,Alanyaspor,6362,34,12,4,18,54,65,-11,40
13,Sincan Belediyesi Ankaraspor,3057,34,9,11,14,37,45,-8,38
14,Bursaspor,3055,34,11,5,18,34,58,-24,38
15,Kayserispor,3072,34,10,8,16,47,58,-11,38
16,Çaykur Rizespor,3064,34,10,6,18,44,53,-9,36
17,Gaziantepspor,3060,34,7,5,22,30,65,-35,26
18,Adanaspor,3069,34,6,7,21,33,62,-29,25
