position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,24,5,5,60,35,+25,77
2,Fenerbahçe,3052,34,22,8,4,60,29,+31,74
3,Beşiktaş JK,3050,34,21,6,7,55,32,+23,69
4,Başakşehir FK,3086,34,15,14,5,49,30,+19,59
5,Trabzonspor,3051,34,15,12,7,58,48,+10,57
6,Bursaspor,3055,34,16,9,9,69,44,+25,57
7,Mersin İdman Yurdu,3102,34,13,8,13,54,48,+6,47
8,Konyaspor,3085,34,12,10,12,30,39,-9,46
9,Gençlerbirliği,7802,34,10,10,14,46,44,+2,40
10,Gaziantepspor,3060,34,11,7,16,31,48,-17,40
11,Eskişehirspor,6364,34,9,12,13,45,52,-7,39
12,Akhisarspor,24748,34,9,11,14,41,51,-10,38
13,Kasımpaşa,6063,34,9,10,15,56,73,-17,37
14,Çaykur Rizespor,3064,34,9,9,16,41,55,-14,36
15,Sivasspor,3076,34,9,9,16,43,50,-7,36
16,Karabükspor,7027,34,7,7,20,44,64,-20,28
17,Kayseri Erciyesspor,3096,34,5,12,17,43,62,-19,27
18,Balıkesirspor,37687,34,6,9,19,48,69,-21,27
