position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Fenerbahçe,3052,34,26,4,4,84,34,+50,82
2,Trabzonspor,3051,34,25,7,2,69,23,+46,82
3,Bursaspor,3055,34,17,10,7,50,29,+21,61
4,Gaziantepspor,3060,34,17,8,9,44,33,+11,59
5,Beşiktaş JK,3050,34,15,9,10,53,36,+17,54
6,Kayserispor,3072,34,14,9,11,46,44,+2,51
7,Eskişehirspor,6364,34,12,11,11,41,40,+1,47
8,Galatasaray,3061,34,14,4,16,41,46,-5,46
9,Karabükspor,7027,34,12,8,14,46,53,-7,44
10,Manisaspor,3100,34,13,4,17,49,52,-3,43
11,Antalyaspor,3056,34,10,12,12,41,48,-7,42
12,Başakşehir FK,3086,34,12,6,16,40,45,-5,42
13,MKE Ankaragücü,3103,34,10,11,13,52,62,-10,41
14,Gençlerbirliği,7802,34,10,10,14,43,51,-8,40
15,Sivasspor,3076,34,8,11,15,43,57,-14,35
16,Buca Geliştirme SK,923758,34,6,8,20,37,65,-28,26
17,Konyaspor,3085,34,4,12,18,28,49,-21,24
18,Kasımpaşa,6063,34,5,8,21,31,71,-40,23
